"","Order","Family","Genus","Species","AdultBodyMass_g","BMR_mLO2hr","GestationLen_d","LitterSize","LittersPerYear","MaxLongevity_m","PopulationDensity_nkm2","SexualMaturityAge_d","TrophicLevel","GR_Area_km2","HumanPopDen_nkm2","PrecipMean_mm","TempMean_degC"
"321","Carnivora","Otariidae","Arctocephalus","Arctocephalus tropicalis",92200,NA,242.3,1,NA,276,NA,1379.79,2,NA,NA,NA,NA
"322","Carnivora","Viverridae","Arctogalidia","Arctogalidia trivirgata",2320,690,46.01,2.79,NA,190,NA,730,2,2766097,97.79,199.26,232.1
"323","Chiroptera","Rhinolophidae","Asellia","Asellia tridens",12.9,NA,66.18,NA,NA,NA,NA,NA,3,13554120,18.64,9.2,236.45
"324","Chiroptera","Rhinolophidae","Aselliscus","Aselliscus stoliczkanus",6.07,NA,NA,NA,NA,NA,NA,NA,3,1399538,167.6,139.23,195.97
"325","Chiroptera","Rhinolophidae","Aselliscus","Aselliscus tricuspidatus",4.09,NA,NA,0.99,NA,NA,NA,NA,3,300956,15.2,292.15,234.1
"326","Insectivora","Erinaceidae","Atelerix","Atelerix albiventris",329,146.7,36.06,2.99,1,NA,NA,101.38,2,11091421,37.67,71.5,250.44
"327","Insectivora","Erinaceidae","Atelerix","Atelerix algirus",958,NA,39.31,3.53,2,84,NA,NA,2,815330,95.57,26.26,167.59
"328","Insectivora","Erinaceidae","Atelerix","Atelerix frontalis",345,NA,37.18,4.74,1.5,NA,NA,353.29,2,1497998,16.7,42.24,186.9
"329","Insectivora","Erinaceidae","Atelerix","Atelerix sclateri",NA,NA,NA,NA,NA,NA,NA,NA,NA,198274,5.95,12.2,245.23
"330","Carnivora","Procyonidae","Bassaricyon","Bassaricyon lasius",1200,NA,NA,NA,NA,NA,NA,NA,NA,3843,196.05,238.21,218.22
"331","Carnivora","Procyonidae","Bassaricyon","Bassaricyon pauli",1200,NA,NA,NA,NA,NA,NA,NA,NA,1403,29.67,233,295.37
"332","Carnivora","Procyonidae","Bassariscus","Bassariscus astutus",1020,NA,54.36,2.99,1,198,3.61,240.9,2,3916072,37.3,45.32,153.99
"333","Carnivora","Procyonidae","Bassariscus","Bassariscus sumichrasti",906,448.2,NA,2,NA,276,18.1,730,2,625978,60.47,134.37,230.31
"334","Rodentia","Bathyergidae","Bathyergus","Bathyergus janetta",389,217.21,NA,3.5,1.75,NA,NA,NA,1,33849,1.65,7.72,164.97
"335","Rodentia","Bathyergidae","Bathyergus","Bathyergus suillus",830,322.78,68.5,2.39,1.5,NA,70,NA,1,59404,76.3,31.42,158.93
"336","Rodentia","Muridae","Batomys","Batomys dentatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,366,199.63,337.02,213.54
"337","Rodentia","Muridae","Batomys","Batomys granti",170,NA,NA,NA,NA,NA,380,NA,NA,732,208.82,323.55,216.25
"338","Rodentia","Muridae","Batomys","Batomys salomonseni",186,NA,NA,NA,NA,NA,NA,NA,NA,102368,171.51,175.7,238.87
"339","Carnivora","Herpestidae","Bdeogale","Bdeogale crassicauda",1720,NA,NA,1,NA,NA,NA,NA,3,1654323,38.56,82.89,229.26
"340","Carnivora","Herpestidae","Bdeogale","Bdeogale jacksoni",2500,NA,NA,NA,NA,NA,NA,NA,3,81429,188.08,80.08,196.41
"341","Carnivora","Herpestidae","Bdeogale","Bdeogale nigripes",2620,NA,NA,1,NA,190,NA,NA,2,3117249,21.16,145.53,242.16
"342","Rodentia","Muridae","Beamys","Beamys hindei",75.8,NA,22.86,3.13,5,NA,NA,154.79,NA,123660,102.73,85.18,247.04
"343","Rodentia","Muridae","Beamys","Beamys major",NA,NA,NA,3.99,NA,NA,NA,NA,NA,57617,57.47,85.43,205.93
"344","Rodentia","Sciuridae","Belomys","Belomys pearsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,434942,155.76,145.99,177.14
"345","Cetacea","Ziphiidae","Berardius","Berardius arnuxii",7e+06,NA,304.16,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"346","Cetacea","Ziphiidae","Berardius","Berardius bairdii",11400000,NA,396.58,0.98,0.33,852,NA,4379.99,3,NA,NA,NA,NA
"347","Rodentia","Muridae","Berylmys","Berylmys berdmorei",NA,NA,NA,NA,NA,NA,NA,NA,NA,570246,124.09,158.53,246.71
"348","Rodentia","Muridae","Berylmys","Berylmys bowersi",351,NA,NA,3.89,NA,34.8,NA,NA,NA,1734265,168.9,148.35,192.92
